para_id,sent_id,sentence,label,avg_word_length,sentence_length_words,sentence_position,sentence_position_norm,type_token_ratio,lexical_density,noun_ratio,verb_ratio,adj_ratio,pronoun_ratio,noun_verb_ratio,causal_marker_ratio,contrast_marker_ratio,named_entity_density,gpt2_surprisal_mean,gpt2_surprisal_max,gpt2_surprisal_min,gpt2_surprisal_var,gpt2_surprisal_sum,gpt2_surprisal_std,bert_surprisal_mean,bert_surprisal_max,bert_surprisal_min,bert_surprisal_var,bert_surprisal_sum,bert_surprisal_std,rst_depth,rst_is_nucleus,rst_relation_type_encoded,rst_centrality_score,rst_is_root,rst_relation_direction,rst_span_length,intra_clause_count,intra_clause_density,intra_has_nucleus_satellite_relation,intra_avg_clause_depth,intra_top_clause_is_nucleus
P000000,P000000_S000,"Beyoncé Giselle Knowles-Carter (/biːˈjɒnseɪ/ bee-YON-say) (born September 4, 1981) is an American singer, songwriter, record producer and actress.",0,5.0476190476190474,21,1,0.25,1.0,0.9047619047619048,0.6190476190476191,0.14285714285714285,0.14285714285714285,0.0,4.333333318888889,0.0,0.0,0.19047619047619047,3.736309051513672,12.953994750976562,0.00380589603446424,11.726008415222168,183.0791473388672,3.424325942993164,1.603947981664159,9.172056198120117,1.6689314179529902e-06,6.788238420240116,67.36581522989468,2.6054248060997875,1.0,0.0,14.0,0.034482758620689655,0.0,0.0,0.034482758620689655,2.0,0.15384615384615385,0.0,1.0,1.0
P000000,P000000_S001,"Born and raised in Houston, Texas, she performed in various singing and dancing competitions as a child, and rose to fame in the late 1990s as lead singer of R&B girl-group Destiny's Child.",1,4.055555555555555,36,2,0.5,0.8055555555555556,0.6388888888888888,0.3333333333333333,0.2222222222222222,0.08333333333333333,0.027777777777777776,1.4999999981249998,0.05555555555555555,0.0,0.027777777777777776,2.5661122798919678,8.167194366455078,0.0014148473273962736,5.680124759674072,107.77671813964844,2.383301258087158,0.4488557404851616,5.243743419647217,2.563032649050001e-05,1.0490349650458166,19.30079684086195,1.024224079508882,3.0,0.0,14.0,0.034482758620689655,0.0,0.0,0.034482758620689655,4.0,0.125,1.0,0.6666666666666666,0.0
P000000,P000000_S002,"Managed by her father, Mathew Knowles, the group became one of the world's best-selling girl groups of all time.",1,4.238095238095238,21,3,0.75,0.9047619047619048,0.6190476190476191,0.3333333333333333,0.19047619047619047,0.047619047619047616,0.047619047619047616,1.749999995625,0.0,0.0,0.09523809523809523,3.264239549636841,10.219581604003906,0.003035107161849737,9.186049461364746,88.13446807861328,3.0308496952056885,0.5107879326979471,5.57109260559082,2.5033982637978625e-06,1.3813880180337301,13.280486250146623,1.1753246436766864,7.0,0.0,14.0,0.034482758620689655,0.0,0.0,0.034482758620689655,1.0,0.05555555555555555,1.0,0.3333333333333333,0.0
P000000,P000000_S003,"Their hiatus saw the release of Beyoncé's debut album, Dangerously in Love (2003), which established her as a solo artist worldwide, earned five Grammy Awards and featured the Billboard Hot 100 number-one singles ""Crazy in Love"" and ""Baby Boy"".",1,4.769230769230769,39,4,1.0,0.8974358974358975,0.6410256410256411,0.41025641025641024,0.15384615384615385,0.05128205128205128,0.05128205128205128,2.666666662222222,0.02564102564102564,0.0,0.1794871794871795,3.2121007442474365,11.896600723266602,0.017254948616027832,9.230034828186035,167.02923583984375,3.0380971431732178,1.196188689019399,10.623024940490723,7.152560215217818e-07,4.823006390047935,63.39800051802814,2.1961344198495536,7.0,0.0,14.0,0.034482758620689655,0.0,0.0,0.034482758620689655,4.0,0.1111111111111111,1.0,1.0,1.0
P000001,P000001_S000,"Following the disbandment of Destiny's Child in June 2005, she released her second solo album, B'Day (2006), which contained hits ""Déjà Vu"", ""Irreplaceable"", and ""Beautiful Liar"".",1,4.7407407407407405,27,1,0.2,1.0,0.7407407407407407,0.4074074074074074,0.14814814814814814,0.18518518518518517,0.07407407407407407,2.749999993125,0.0,0.0,0.1111111111111111,3.1337525844573975,9.155202865600586,0.0017382287187501788,7.933895587921143,144.15261840820312,2.8167171478271484,0.5648037106617472,5.2925896644592285,1.4305124977909145e-06,1.3601264942047648,29.369792954410855,1.1662446116509027,2.0,0.0,14.0,0.01818181818181818,0.0,0.0,0.01818181818181818,3.0,0.13043478260869565,1.0,1.0,0.0
P000001,P000001_S001,"Beyoncé also ventured into acting, with a Golden Globe-nominated performance in Dreamgirls (2006), and starring roles in The Pink Panther (2006) and Obsessed (2009).",1,5.409090909090909,22,2,0.4,0.9090909090909091,0.6363636363636364,0.3181818181818182,0.22727272727272727,0.045454545454545456,0.0,1.3999999972000001,0.0,0.0,0.3181818181818182,2.9173433780670166,11.007244110107422,0.0044923098757863045,9.209407806396484,107.94170379638672,3.034700632095337,0.8929008029455758,10.192461967468262,4.768372718899627e-07,4.198103442524024,33.037329708986306,2.0489273882995525,4.0,0.0,14.0,0.01818181818181818,0.0,0.0,0.01818181818181818,3.0,0.15,0.0,1.0,1.0
P000001,P000001_S002,"Her marriage to rapper Jay Z and portrayal of Etta James in Cadillac Records (2008) influenced her third album, I Am... Sasha Fierce (2008), which saw the birth of her alter-ego Sasha Fierce and earned a record-setting six Grammy Awards in 2010, including Song of the Year for ""Single Ladies (Put a Ring on It)"".",1,4.2407407407407405,54,3,0.6,0.8148148148148148,0.6296296296296297,0.42592592592592593,0.14814814814814814,0.05555555555555555,0.07407407407407407,2.87499999640625,0.0,0.0,0.2962962962962963,3.5702497959136963,12.86844539642334,0.0006997520686127245,9.702820777893066,260.62823486328125,3.1149351596832275,0.9655708774885018,9.796178817749023,3.099446303167497e-06,2.7315904635134896,72.41781581163764,1.6527523902610124,5.0,0.0,14.0,0.01818181818181818,0.0,0.0,0.01818181818181818,4.0,0.08,0.0,1.6666666666666667,1.0
P000001,P000001_S003,"Beyoncé took a hiatus from music in 2010 and took over management of her career; her fourth album 4 (2011) was subsequently mellower in tone, exploring 1970s funk, 1980s pop, and 1990s soul.",0,4.3,30,4,0.8,0.8,0.6666666666666666,0.36666666666666664,0.13333333333333333,0.13333333333333333,0.06666666666666667,2.749999993125,0.0,0.0,0.03333333333333333,3.6066205501556396,13.240389823913574,0.005140777211636305,9.42241382598877,162.2979278564453,3.0695950984954834,1.34768777037935,8.042790412902832,6.07969241173123e-06,4.1300933398963275,56.6028863559327,2.0322631079405853,4.0,0.0,14.0,0.01818181818181818,0.0,0.0,0.01818181818181818,3.0,0.1111111111111111,0.0,1.0,1.0
P000001,P000001_S004,"Her critically acclaimed fifth studio album, Beyoncé (2013), was distinguished from previous releases by its experimental production and exploration of darker themes.",0,6.428571428571429,21,5,1.0,1.0,0.7142857142857143,0.38095238095238093,0.14285714285714285,0.14285714285714285,0.09523809523809523,2.666666657777778,0.0,0.0,0.09523809523809523,3.920921564102173,11.572807312011719,0.0729064866900444,11.760916709899902,101.94396209716797,3.4294192790985107,1.2489929237688524,10.028411865234375,4.768382950715022e-06,4.712266798247593,33.72280894175901,2.1707756213500264,6.0,0.0,14.0,0.01818181818181818,0.0,0.0,0.01818181818181818,2.0,0.09523809523809523,0.0,0.6666666666666666,1.0
P000002,P000002_S000,"A self-described ""modern-day feminist"", Beyoncé creates songs that are often characterized by themes of love, relationships, and monogamy, as well as female sexuality and empowerment.",1,5.518518518518518,27,1,0.125,0.9259259259259259,0.7407407407407407,0.4074074074074074,0.1111111111111111,0.1111111111111111,0.0,3.6666666544444446,0.07407407407407407,0.0,0.037037037037037035,3.1483383178710938,9.050857543945312,0.0041166334412992,8.042046546936035,113.34017944335938,2.835850238800049,0.9553169271682811,7.190665245056152,4.768382950715022e-06,3.1856184138558143,36.30204323239468,1.7848300798271566,1.0,0.0,14.0,0.037037037037037035,0.0,0.0,0.037037037037037035,4.0,0.17391304347826086,1.0,0.3333333333333333,1.0
